wind_speed,swr,mixing/coef_mix_hyp,par_id
1.471,1.3311,0.44903,p0001
0.50694,0.94139,0.41058,p0002
1.1662,0.99252,0.44454,p0003
1.5416,1.4278,0.37812,p0004
1.035,1.0288,0.40845,p0005
1.1255,1.1666,0.36234,p0006
1.5134,0.86767,0.35711,p0007
0.53689,1.3168,0.40217,p0008
0.93059,1.3922,0.40072,p0009
0.92822,0.93629,0.37163,p0010
0.90919,1.329,0.41762,p0011
1.3793,1.3239,0.40635,p0012
1.1826,1.2983,0.40191,p0013
1.1619,0.89079,0.44131,p0014
1.6139,0.98998,0.43474,p0015
0.54268,1.082,0.43831,p0016
0.95552,0.92584,0.43203,p0017
0.58779,1.3213,0.40247,p0018
1.426,0.82431,0.39193,p0019
1.1223,1.4222,0.43374,p0020
0.84635,1.244,0.41205,p0021
1.0681,1.0154,0.40341,p0022
0.72512,1.2115,0.39086,p0023
0.92391,0.80612,0.37679,p0024
1.5,1.4749,0.35833,p0025
1.176,0.92844,0.43811,p0026
0.80293,1.4558,0.35136,p0027
1.0985,1.4546,0.42078,p0028
1.1103,1.1933,0.35788,p0029
1.0978,1.2388,0.4375,p0030
1.3871,1.2737,0.36634,p0031
1.5013,1.1985,0.44252,p0032
0.78934,1.2779,0.43931,p0033
0.76843,0.86009,0.41033,p0034
1.5067,1.2282,0.39288,p0035
1.4213,1.0959,0.42505,p0036
1.0424,1.4826,0.40877,p0037
1.164,1.2218,0.38976,p0038
1.5188,1.251,0.40646,p0039
1.4635,1.1271,0.41934,p0040
1.3382,1.4599,0.4314,p0041
1.4789,1.0504,0.40413,p0042
1.2018,1.0489,0.39753,p0043
1.3063,1.095,0.40586,p0044
1.4606,1.2033,0.37198,p0045
0.61078,1.4621,0.42211,p0046
1.15,1.286,0.4229,p0047
1.0815,1.1522,0.44057,p0048
1.2507,1.0374,0.44899,p0049
1.4844,1.3939,0.35526,p0050
1.5609,1.161,0.44771,p0051
0.71023,1.4445,0.3859,p0052
1.1138,1.1618,0.35559,p0053
1.1091,1.0124,0.44635,p0054
1.2578,1.4152,0.44994,p0055
0.94863,1.2906,0.42847,p0056
0.90061,1.0558,0.36993,p0057
1.5481,1.4737,0.42978,p0058
0.82422,1.0102,0.35353,p0059
0.60668,1.141,0.42901,p0060
0.70209,0.98846,0.42301,p0061
1.4933,1.1574,0.38744,p0062
0.88759,1.4369,0.43357,p0063
1.297,1.4673,0.44091,p0064
0.74267,0.88818,0.42088,p0065
0.70389,1.323,0.39662,p0066
0.50968,1.063,0.38212,p0067
0.67927,1.4585,0.41967,p0068
0.75877,1.3432,0.43329,p0069
0.51851,1.1437,0.42425,p0070
1.1145,1.1632,0.41159,p0071
0.54657,1.0347,0.44274,p0072
1.3171,1.3614,0.38356,p0073
1.5782,0.91891,0.38779,p0074
0.70502,0.90593,0.43901,p0075
1.3131,1.182,0.42812,p0076
1.2593,1.0327,0.37235,p0077
1,0.96981,0.37587,p0078
0.80473,0.98529,0.39018,p0079
1.4271,1.3184,0.4113,p0080
1.1953,1.0687,0.39376,p0081
1.1858,0.96278,0.43185,p0082
0.93329,1.4482,0.43399,p0083
1.4869,0.97336,0.3551,p0084
0.69087,0.88319,0.36422,p0085
0.77591,1.2291,0.36091,p0086
0.74623,1.468,0.37258,p0087
0.81829,0.96786,0.37608,p0088
0.54492,0.97772,0.40703,p0089
0.53654,1.429,0.40087,p0090
1.2534,1.1754,0.36756,p0091
0.61492,1.3498,0.37372,p0092
1.3977,1.0532,0.40491,p0093
1.1521,1.0702,0.36871,p0094
0.75492,1.067,0.40236,p0095
0.70871,0.81217,0.35996,p0096
0.54007,1.2086,0.35381,p0097
1.365,1.3663,0.37723,p0098
1.5868,0.82894,0.38677,p0099
0.90382,0.85383,0.42558,p0100
0.93555,1.3553,0.35272,p0101
0.6755,1.1105,0.38696,p0102
0.57926,0.93233,0.41891,p0103
0.64574,1.351,0.36181,p0104
0.85891,1.1141,0.42868,p0105
0.80086,1.3899,0.37867,p0106
1.4648,1.4206,0.37054,p0107
0.96095,1.1305,0.40126,p0108
0.61713,1.0281,0.43299,p0109
1.3199,0.81036,0.37202,p0110
1.0456,0.88118,0.40684,p0111
0.8419,1.1364,0.39906,p0112
0.89128,0.96538,0.35803,p0113
1.6324,0.96437,0.38715,p0114
1.018,1.1771,0.41092,p0115
0.64946,1.0074,0.38486,p0116
1.4382,1.2169,0.35857,p0117
0.87797,1.237,0.3974,p0118
1.4166,1.0537,0.39823,p0119
0.77765,0.91225,0.44978,p0120
1.4544,1.3782,0.37297,p0121
0.82516,1.2327,0.444,p0122
1.3843,1.4933,0.44033,p0123
1.5207,1.4526,0.36065,p0124
1.3545,0.86435,0.368,p0125
0.83929,1.4478,0.37135,p0126
1.0956,0.92269,0.37917,p0127
1.6227,1.146,0.36729,p0128
1.4979,1.2988,0.43965,p0129
1.2302,1.4349,0.36661,p0130
1.0127,1.1401,0.41006,p0131
0.57018,1.2526,0.44299,p0132
0.59453,1.1167,0.42495,p0133
1.494,1.036,0.4357,p0134
1.1285,1.2303,0.37064,p0135
1.1909,1.0058,0.44166,p0136
0.78345,0.86935,0.41257,p0137
0.82032,1.312,0.36171,p0138
0.88212,1.2805,0.43169,p0139
0.52318,1.3154,0.37492,p0140
1.3575,1.1745,0.41175,p0141
0.76573,0.93089,0.36296,p0142
1.0038,1.3411,0.39395,p0143
1.6439,0.99882,0.36323,p0144
1.3933,1.4898,0.43539,p0145
0.91168,0.99582,0.35377,p0146
0.5521,1.3853,0.42392,p0147
1.584,1.1833,0.41266,p0148
1.0539,1.2709,0.40368,p0149
0.58274,1.4389,0.35256,p0150
1.5548,1.3462,0.36886,p0151
1.402,0.80873,0.41683,p0152
0.67214,1.2761,0.41877,p0153
1.4335,0.84906,0.42988,p0154
0.70007,1.1713,0.44513,p0155
1.5427,1.2149,0.44004,p0156
1.3883,1.0613,0.37317,p0157
1.5938,0.86273,0.39317,p0158
0.75218,1.4576,0.43509,p0159
